run_name,log_path,checkpoint_path,arch,n_fibers,seed,train_samples,pretrained,source_n_fibers,transfer_strategy,best_val_loss,nrmse,wmse,ssim_score,median_max_err,peak_loc_err
attention_unet_nf20_scratch_n40_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n40_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n40_seed42.pth,attention_unet,20,42,40,False,,scratch,0.029821644847591717,0.02318015706033105,0.0007806878420524299,0.9047180414199829,0.17841519954532836,39.57292938232422
attention_unet_nf20_scratch_n4_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n4_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n4_seed42.pth,attention_unet,20,42,4,False,,scratch,0.0595732219517231,0.0342803635087806,0.0018117126310244203,0.7959782481193542,0.2249557767371332,44.98644256591797
attention_unet_nf20_scratch_n4_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n4_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n4_seed43.pth,attention_unet,20,43,4,False,,scratch,0.056738230089346565,0.03429398649847972,0.002002779394388199,0.8222931623458862,0.2162585847549139,58.54815673828125
attention_unet_nf20_scratch_n60_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n60_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n60_seed42.pth,attention_unet,20,42,60,False,,scratch,0.026631604880094528,0.02072149576084512,0.0006303210975602269,0.915878415107727,0.15359922093467274,21.533206939697266
attention_unet_nf20_scratch_n80_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_scratch_n80_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_scratch_n80_seed42.pth,attention_unet,20,42,80,False,,scratch,0.025262055918574333,0.021259406091144385,0.0006751226028427482,0.9196285009384155,0.16192251740439645,38.780967712402344
attention_unet_nf6_scratch,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf6_scratch.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf6_scratch.pth,attention_unet,6,,,False,,scratch,0.05824760273098946,0.04170420358193266,0.00337960384786129,0.8064836263656616,0.21452851735769665,47.727806091308594
attention_unet_nf6_scratch_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf6_scratch_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf6_scratch_seed42.pth,attention_unet,6,42,,False,,scratch,0.024766954282919567,0.024793180310682325,0.0009752011974342167,0.9111849665641785,0.11997704633356317,36.016258239746094
attention_unet_nf6_scratch_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf6_scratch_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf6_scratch_seed43.pth,attention_unet,6,43,,False,,scratch,0.021106285974383354,0.028475424830218903,0.0015118229202926159,0.9156094789505005,0.13586775460955972,27.037113189697266
attention_unet_nf6_scratch_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf6_scratch_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf6_scratch_seed44.pth,attention_unet,6,44,,False,,scratch,0.02463909735282262,0.029840054863484282,0.001524491934105754,0.9105833172798157,0.18839294171278567,27.577383041381836
attn_wmse_nf6,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attn_wmse_nf6.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attn_wmse_nf6.pth,attention_unet,6,,,False,,scratch,0.001966887153685093,0.03642309873012456,0.0020891395397484303,0.8004851341247559,0.1676122519319515,41.42091369628906
